"","Substance","CAS","Orange","ToxCast","Tox21","ExpoCast","NHANES","MW","Expo.Total_median","Expo.Total_95perc","Boiling.Point.Ave.exp","Boiling.Point.Ave.prd","Boiling.Point.Med.exp","Boiling.Point.Med.prd","Boiling.Point.Rng.exp","Boiling.Point.Rng.prd","Boiling.Point.Deg","LogP.Ave.exp","LogP.Ave.prd","LogP.Med.exp","LogP.Med.prd","LogP.Rng.exp","LogP.Rng.prd","LogP","Type","Rev.CAS"
"217","Phenanthrene","85-01-8",0,1,1,1,1,178.23,1.21e-06,8.72e-05,"339 (5)","326 (3)",340,326,"336 to 340","315 to 337","C","4.46 (2)","4.24 (4)",4.46,4.24,4.46,"3.36 to 4.72",4.46,"EXP","0"
"218","ORGANOSILICONE","67763-03-5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"219","OXITENO (EMULSIFYING AGENT)","25322-68-3",0,NA,NA,NA,NA,44.0526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"220","PYRASOSULFURON ETHYL","93697-74-6",0,NA,NA,NA,NA,414.39,NA,NA,NA,"392 (3)",NA,392,NA,"281 to 588","C","1.30 (1)","6.72e-01 (3)",1.3,0.672,1.3,"0.25 to 1.00",1.3,"EXP","0"
"221","TRIFLOXYSULFURON","145099-21-4",0,NA,NA,NA,NA,437.3536,NA,NA,NA,"372 (3)",NA,372,NA,"265 to 551","C",NA,"1.65 (3)",NA,1.65,NA,"1.11 to 2.22",NA,NA,"0"
"222","GLYPHOSATE","1071-83-6",0,NA,NA,NA,NA,169.07,NA,NA,NA,"349 (3)",NA,349,NA,"310 to 417","C","-3.40 (1)","-3.69 (3)",-3.4,-3.69,-3.4,"-4.47 to -3.14",-4,"EXP","0"
"223","INDAZIFLAM","950782-86-2",0,NA,NA,NA,NA,301.36,NA,NA,NA,"380 (3)",NA,380,NA,"305 to 503","C",NA,"2.82 (3)",NA,2.82,NA,"1.42 to 4.53",NA,NA,"0"
"224","Allylbenzene","300-57-2",0,NA,NA,NA,NA,118.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.23,"EXP","0"
"225","Cyclopentene","142-29-0",0,NA,NA,NA,NA,68.12,NA,NA,"44.5 (5)","52.3 (3)",45,52.3,"44.0 to 45.0","45.2 to 65.9","C",NA,"2.50 (4)",NA,2.5,NA,"2.28 to 2.63",2.47,"EST","0"
"226","cis-1,3-Pentadiene","1574-41-0",0,NA,NA,NA,NA,68.12,NA,NA,"42.7 (1)","46.9 (2)",42.7,46.9,"42.7","43.2 to 50.6","C","2.40 (1)","2.48 (2)",2.4,2.48,2.4,"2.48",2.4,"EXP","0"
"227","Naphtha (petroleum), hydrotreated heavy","64742-48-9",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"228","Naphthalene, methyl-","1321-94-4",0,NA,NA,NA,NA,143.2079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72,"EST","0"
"229","4,7-Methano-1H-indene, octahydro-","6004-38-2",0,NA,NA,NA,NA,136.2364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.59,"EST","0"
"230","2-Methylbutane (Butane, 2-methyl-)","78-78-4",0,NA,NA,NA,NA,72.15,NA,NA,"28.6 (3)","35.0 (4)",29,35,"28.0 to 30.0","30.2 to 40.6","C",NA,"2.97 (3)",NA,2.97,NA,"2.72 to 3.23",2.72,"EST","0"
"231","cis,trans,cis-1,2,4-Trimethylcyclopentane 1.673 wt. %","16883-48-0",0,NA,NA,NA,NA,112.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.94,"EST","0"
"232","cis,cis,cis-1,3,5-Trimethylcyclohexane 3.558 wt. %","1795-27-3",0,NA,NA,NA,NA,126.2412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.43,"EST","0"
"233","cis,trans,trans-1,2,4-Trimethylcyclohexane 3.634 wt. %","1678-80-4",0,NA,NA,NA,NA,126.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"234","cis,trans,cis-1,2,4-Trimethylcyclohexane 3.541 wt. %","7667-59-6",0,NA,NA,NA,NA,126.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"235","1,1,4-Trimethylcyclohexane 3.68 wt. %","7094-27-1",0,NA,NA,NA,NA,126.241,NA,NA,NA,"137 (3)",NA,137,NA,"134 to 139","C",NA,"4.51 (3)",NA,4.51,NA,"4.32 to 4.75",NA,NA,"0"
"236","1,1,2-Trimethylcyclohexane 3.371 wt. %","7094-26-0",0,NA,NA,NA,NA,126.241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.46,"EST","0"
"237","Propylcyclopentane 3.677 wt. %","2040-96-2",0,NA,NA,NA,NA,112.214,NA,NA,"131 (1)","131 (3)",131,131,"131","128 to 134","C",NA,"4.42 (3)",NA,4.42,NA,"4.08 to 4.75",4.08,"EST","0"
"238","trans-1-Methyl-2-propylcyclohexane 3.289 wt. %","42806-77-9",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"239","t-1-Methyl-2-(4MP)cyclopentane 3.795 wt. %","66553-50-2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"240","Methylcyclohexane 5.711 wt. %","108-87-2",0,NA,NA,NA,NA,98.19,NA,NA,"101 (1)","104 (3)",101,104,"101","102 to 107","C","3.61 (1)","3.63 (4)",3.61,3.63,3.61,"3.53 to 3.74",3.61,"EXP","0"
"241","Isopropylcyclopentane 3.511 wt. %","3875-51-2",0,NA,NA,NA,NA,112.214,NA,NA,"127 (1)","122 (3)",127,122,"127","114 to 128","C",NA,"4.24 (3)",NA,4.24,NA,"4.01 to 4.60",4.01,"EST","0"
"242","Isopropylcyclohexane 5.77 wt. %","696-29-7",0,NA,NA,NA,NA,126.24,NA,NA,"155 (1)","150 (3)",155,150,"155","139 to 159","C",NA,"4.55 (3)",NA,4.55,NA,"4.50 to 4.64",4.5,"EST","0"
"243","Isobutylcyclopentane 3.727 wt. %","3788-32-7",0,NA,NA,NA,NA,126.241,NA,NA,"148 (1)","144 (3)",148,144,"148","137 to 152","C",NA,"4.74 (3)",NA,4.74,NA,"4.50 to 5.00",4.5,"EST","0"
"244","Isobutylcyclohexane 5.639 wt. %","1678-98-4",0,NA,NA,NA,NA,140.271,NA,NA,"171 (1)","167 (3)",171,167,"171","161 to 173","C",NA,"5.14 (3)",NA,5.14,NA,"4.99 to 5.32",4.99,"EST","0"
"245","1-Ethyl-1-methylcyclopentane 1.076 wt. %","16747-50-5",0,NA,NA,NA,NA,112.214,NA,NA,"122 (1)","120 (3)",122,120,"122","116 to 122","C",NA,"4.41 (3)",NA,4.41,NA,"4.05 to 4.72",4.05,"EST","0"
"246","Ethylcyclopentane 3.575 wt. %","1640-89-7",0,NA,NA,NA,NA,98.19,NA,NA,"104 (1)","103 (3)",104,103,"104","102 to 105","C",NA,"3.84 (3)",NA,3.84,NA,"3.59 to 4.09",3.59,"EST","0"
"247","trans-1,3-Dimethylcyclopentane 2.749 wt. %","1759-58-6",0,NA,NA,NA,NA,98.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.52,"EST","0"
"248","cis-1,3-Dimethylcyclopentane .604 wt. %","2532-58-3",0,NA,NA,NA,NA,98.1876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.52,"EST","0"
"249","trans-1,2-Dimethylcyclopentane 1.468 wt. %","822-50-4",0,NA,NA,NA,NA,98.1876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.52,"EST","0"
"250","1,1-Dimethylcyclopentane 3.483 wt. %","1638-26-2",0,NA,NA,NA,NA,98.1876,NA,NA,"87.5 (1)","90.0 (3)",87.5,90,"87.5","83.2 to 95.0","C",NA,"3.73 (3)",NA,3.73,NA,"3.56 to 3.82",3.56,"EST","0"
"251","trans-1,4-Dimethylcyclohexane 3.557 wt. %","2207-04-7",0,NA,NA,NA,NA,112.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.01,"EST","1"
"252","trans-1,2-Dimethylcyclohexane 1.669 wt. %","6876-23-9",0,NA,NA,NA,NA,112.21,NA,NA,"126 (1)","126 (2)",126,126,"126","124 to 129","C",NA,"4.12 (2)",NA,4.12,NA,"4.11 to 4.14",4.01,"EST","0"
"253","cis-1,2-Dimethylcyclohexane 3.725 wt. %","2207-04-1",0,NA,NA,NA,NA,112.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.01,"EST","1"
"254","n-Butylcyclopentane 3.724 wt. %","2040-95-1",0,NA,NA,NA,NA,126.241,NA,NA,"194 (2)","153 (3)",232,153,"232","151 to 155","C",NA,"4.99 (3)",NA,4.99,NA,"4.58 to 5.34",4.58,"EST","0"
"255","Dibenz[a,j]acridine","224-42-0",0,NA,NA,NA,NA,279.33,NA,NA,NA,"473 (3)",NA,473,NA,"440 to 502","C","5.63 (1)","4.66 (3)",5.63,4.66,5.63,"3.62 to 5.67",5.63,"EXP","0"
"256","Benzo[j]fluoranthene","205-82-3",0,NA,NA,NA,NA,252.31,NA,NA,NA,"420 (3)",NA,420,NA,"355 to 462","C",NA,"5.32 (3)",NA,5.32,NA,"4.71 to 6.11",6.11,"EST","0"
"257","Dibenz[a,h]acridine","226-36-8",0,NA,NA,NA,NA,279.33,NA,NA,NA,"474 (3)",NA,474,NA,"445 to 502","C","5.73 (1)","4.57 (3)",5.73,4.57,5.73,"3.76 to 5.67",5.73,"EXP","0"
"258","Dibenzo[a,h]pyrene","192-51-8",0,NA,NA,NA,NA,302.375,NA,NA,NA,"501 (3)",NA,501,NA,"464 to 527","C",NA,"6.16 (3)",NA,6.16,NA,"5.02 to 7.28",NA,NA,"0"
"259","Dibenzo[a,e]pyrene","192-65-4",0,NA,NA,NA,NA,302.37,NA,NA,NA,"501 (3)",NA,501,NA,"464 to 527","C",NA,"6.09 (3)",NA,6.09,NA,"5.02 to 7.28",7.28,"EST","0"
"260","CHLOROFORM","67-66-3",0,NA,1,1,1,119.38,3.5e-06,0.000289,"61.2 (5)","70.0 (3)",61.3,70,"60.5 to 61.7","54.5 to 91.2","C","1.97 (1)","1.85 (4)",1.97,1.85,1.97,"1.52 to 2.00",1.97,"EXP","0"
"261","TRICHLOROETHYLENE","79-01-6",0,NA,1,1,1,131.39,7.27e-06,0.00054,"87.0 (6)","89.4 (3)",87,89.4,"86.7 to 87.2","84.8 to 97.2","C","2.42 (1)","2.44 (4)",2.42,2.44,2.42,"2.29 to 2.71",2.42,"EXP","0"
"262","HEXACHLOROBUTADIENE","87-68-3",0,NA,1,1,NA,260.76,4.1e-06,0.000293,"214 (6)","217 (3)",215,217,"210 to 220","216 to 220","C","4.78 (1)","4.73 (4)",4.78,4.73,4.78,"4.65 to 4.84",4.78,"EXP","0"
"263","DDE, P,P'-","72-55-9",0,1,1,1,1,318.03,9.84e-08,7.29e-06,"336 (1)","339 (3)",336,339,"336","316 to 363","C","6.51 (1)","5.86 (4)",6.51,5.86,6.51,"4.84 to 6.49",6.51,"EXP","0"
"264","CHLORDANE","57-74-9",0,1,1,1,NA,409.7814,1.53e-07,8.93e-06,NA,"339 (3)",NA,339,NA,"329 to 351","C","6.16 (2)","6.11 (4)",6.16,6.11,6.16,"5.99 to 6.26",6.16,"EXP","0"
"265","ACROLEIN","107-02-8",0,NA,1,1,1,56.06,1.28e-07,1.13e-05,"52.5 (5)","56.8 (3)",52.9,56.8,"51.0 to 53.0","50.0 to 62.4","C","-0.0100 (1)","2.03e-01 (4)",-0.01,0.203,-0.01,"8.19e-02 to 4.42e-01",-0.01,"EXP","0"
"266","TOXAPHENE","8001-35-2",0,NA,1,1,NA,NA,1.48e-07,7.32e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,"EXP","0"
"267","TETRACHLOROETHYLENE","127-18-4",0,NA,1,1,1,165.83,4.59e-06,0.000436,"121 (6)","120 (3)",121,120,"120 to 121","114 to 130","C","3.40 (1)","3.18 (4)",3.4,3.18,3.4,"2.95 to 3.43",3.4,"EXP","0"
"268","1,2-DIBROMOETHANE","106-93-4",0,NA,1,1,NA,187.86,2.82e-08,2.87e-06,"132 (4)","129 (3)",132,129,"131 to 132","124 to 132","C","1.96 (1)","2.08 (4)",1.96,2.08,1.96,"1.98 to 2.20",1.96,"EXP","0"
"269","1,2-DIBROMO-3-CHLOROPROPANE","96-12-8",0,NA,1,1,1,236.33,7.02e-08,3.64e-06,"196 (5)","197 (3)",196,197,"196","197","C","2.96 (1)","2.74 (4)",2.96,2.74,2.96,"2.68 to 2.87",2.96,"EXP","0"
"270","CARBON TETRACHLORIDE","56-23-5",0,NA,1,1,1,153.82,4.97e-06,0.000458,"76.8 (3)","77.1 (3)",76.8,77.1,"76.7 to 77.0","75.2 to 80.4","C","2.83 (1)","2.65 (4)",2.83,2.65,2.83,"2.44 to 2.76",2.83,"EXP","0"
"271","AROCLOR 1016","12674-11-2",0,NA,1,1,NA,257.5463,2.52e-08,2.83e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.69,"EST","0"
"272","3,3'-DICHLOROBENZIDINE","91-94-1",0,NA,1,1,NA,253.13,2.86e-06,0.00018,"394 (2)","369 (3)",420,369,"420","339 to 407","C","3.51 (1)","3.11 (4)",3.51,3.11,3.51,"2.76 to 3.40",3.51,"EXP","0"
"273","PENTACHLOROBENZENE","608-93-5",0,NA,1,1,NA,250.34,1.54e-08,1.56e-06,"277 (1)","263 (3)",277,263,"277","258 to 266","C","5.17 (1)","4.73 (4)",5.17,4.73,5.17,"4.01 to 5.22",5.17,"EXP","0"
"274","1,1-DICHLOROETHENE","75-35-4",0,NA,1,1,1,96.94,8.06e-08,9.84e-06,"31.3 (4)","35.2 (3)",31.7,35.2,"30.0 to 32.0","24.4 to 44.4","C","2.13 (1)","2.17 (4)",2.13,2.17,2.13,"2.12 to 2.21",2.13,"EXP","0"
"275","BIS(2-CHLOROETHYL) ETHER","111-44-4",0,1,1,1,NA,143.01,2.82e-07,2.46e-05,"139 (3)","172 (3)",120,172,"60.0 to 178","166 to 177","C","1.29 (1)","1.42 (4)",1.29,1.42,1.29,"1.21 to 1.66",1.29,"EXP","0"
"276","METHYLENE CHLORIDE","75-09-2",0,NA,1,1,1,84.93,2.02e-06,0.00023,"39.8 (6)","50.8 (3)",40,50.8,"39.0 to 40.0","36.0 to 80.4","C","1.25 (1)","1.37 (4)",1.25,1.37,1.25,"1.33 to 1.43",1.25,"EXP","0"
"277","4,4'-METHYLENEBIS(2-CHLOROANILINE)","101-14-4",0,NA,1,1,NA,267.15,4.62e-06,0.000325,"293 (2)","375 (3)",208,375,"202 to 214","359 to 405","C","3.91 (1)","3.21 (4)",3.91,3.21,3.91,"2.78 to 3.76",3.91,"EXP","0"
"278","1,2-DICHLOROETHANE","107-06-2",0,NA,1,1,1,98.96,4.9e-06,0.000784,"83.2 (5)","88.2 (3)",83,88.2,"83.0 to 83.3","74.2 to 105","C","1.48 (1)","1.70 (4)",1.48,1.7,1.48,"1.53 to 1.83",1.48,"EXP","0"
"279","HEXACHLOROCYCLOHEXANE, ALPHA-","319-84-6",0,NA,1,1,NA,290.83,1.02e-07,5.02e-06,NA,"283 (3)",NA,283,NA,"245 to 304","C","3.72 (1)","3.87 (4)",3.72,3.87,3.72,"3.63 to 4.26",3.8,"EXP","0"
"280","1,1,1-TRICHLOROETHANE","71-55-6",0,NA,1,1,1,133.405,7.83e-05,0.00533,"96.7 (4)","74.0 (3)",74,74,"73.9 to 165","65.6 to 81.6","C","2.49 (1)","2.51 (4)",2.49,2.51,2.49,"2.34 to 2.68",2.49,"EXP","0"
"281","N-NITROSODI-N-PROPYLAMINE","621-64-7",0,1,1,1,NA,130.1896,4.55e-07,4.07e-05,"206 (1)","210 (3)",206,210,"206","189 to 236","C","1.36 (1)","1.53 (4)",1.36,1.53,1.36,"1.33 to 1.80",1.36,"EXP","0"
"282","CHLOROBENZENE","108-90-7",0,NA,1,1,1,112.56,4.23e-05,0.00207,"132 (6)","128 (3)",132,128,"132","120 to 140","C","2.84 (1)","2.50 (4)",2.84,2.5,2.84,"2.28 to 2.64",2.84,"EXP","0"
"283","CHLORDECONE","143-50-0",0,1,1,1,NA,490.64,1.94e-07,1.18e-05,NA,"390 (3)",NA,390,NA,"359 to 441","C","5.41 (1)","5.26 (4)",5.41,5.26,5.41,"4.91 to 5.66",5.41,"EXP","0"
"284","1,1,2,2-TETRACHLOROETHANE","79-34-5",0,NA,1,1,1,167.85,3.68e-05,0.00267,"145 (5)","144 (3)",146,144,"142 to 147","135 to 150","C","2.39 (1)","2.37 (4)",2.39,2.37,2.39,"2.19 to 2.62",2.39,"EXP","0"
"285","1,1-DICHLOROETHANE","75-34-3",0,NA,1,1,1,98.96,1.2e-08,1.55e-06,"57.1 (5)","60.2 (3)",57,60.2,"57.0 to 57.2","56.3 to 63.0","C","1.79 (1)","1.77 (4)",1.79,1.77,1.79,"1.75 to 1.84",1.79,"EXP","0"
"286","NALED","300-76-5",0,1,1,1,1,380.78,1.22e-07,7.73e-06,NA,"301 (3)",NA,301,NA,"275 to 328","C","1.38 (1)","1.88 (4)",1.38,1.88,1.38,"1.60 to 2.33",1.38,"EXP","0"
"287","1,1,2-TRICHLOROETHANE","79-00-5",0,NA,1,1,1,133.4,1.1e-07,1.02e-05,"114 (4)","120 (3)",114,120,"110 to 115","113 to 128","C","1.89 (1)","1.96 (4)",1.89,1.96,1.89,"1.87 to 2.01",1.89,"EXP","0"
"288","HEXACHLOROCYCLOPENTADIENE","77-47-4",0,1,1,1,NA,272.77,1.41e-07,2.32e-05,"239 (3)","232 (3)",239,232,"239","217 to 240","C","5.04 (1)","4.99 (4)",5.04,4.99,5.04,"4.73 to 5.44",5.04,"EXP","0"
"289","1,2-DIPHENYLHYDRAZINE","122-66-7",0,1,1,1,NA,184.24,1.49e-07,1.01e-05,"309 (1)","327 (3)",309,327,"309","311 to 350","C","2.94 (1)","2.66 (4)",2.94,2.66,2.94,"1.99 to 3.06",2.94,"EXP","0"
"290","1,2-DICHLOROBENZENE","95-50-1",0,1,1,1,1,147,2.54e-06,0.000148,"180 (5)","174 (3)",180,174,"178 to 181","174 to 175","C","3.43 (1)","3.02 (4)",3.43,3.02,3.43,"2.45 to 3.28",3.43,"EXP","0"
"291","1,2-DICHLOROETHENE, TRANS-","156-60-5",0,NA,1,1,1,96.94,2.76e-08,3.77e-06,"52.0 (6)","54.9 (3)",48,54.9,"47.0 to 60.0","54.0 to 55.4","C","1.86 (1)","1.93 (4)",1.86,1.93,1.86,"1.82 to 1.98",2.09,"EXP","0"
"292","CARBON DISULFIDE","75-15-0",0,NA,1,1,1,76.14,2.43e-06,0.000185,"46.1 (5)","44.2 (3)",46,44.2,"46.0 to 46.7","34.8 to 51.4","C","1.94 (1)","1.92 (4)",1.94,1.92,1.94,"1.89 to 1.97",NA,NA,"0"
"293","2,4-DIMETHYLPHENOL","105-67-9",0,1,1,1,NA,122.16,1.95e-08,1.85e-06,"211 (4)","211 (3)",211,211,"209 to 213","206 to 216","C","2.30 (1)","2.33 (4)",2.3,2.33,2.3,"2.03 to 2.61",2.3,"EXP","0"
"294","ACETONE","67-64-1",0,NA,1,1,NA,58.08,4.72e-05,0.00457,"56.0 (5)","44.9 (3)",56,44.9,"56.0 to 56.1","41.5 to 48.2","C","-0.240 (2)","-0.0800 (4)",-0.24,-0.08,-0.24,"-0.287 to 1.73e-01",-0.24,"EXP","0"
"295","HEXACHLOROETHANE","67-72-1",0,NA,1,1,1,236.74,6.96e-08,7.97e-06,NA,"176 (3)",NA,176,NA,"154 to 203","C","4.14 (1)","3.91 (4)",4.14,3.91,4.14,"3.61 to 4.03",4.14,"EXP","0"
"296","BUTYL BENZYL PHTHALATE","85-68-7",0,1,1,1,1,312.36,0.000115,0.00687,"370 (4)","364 (3)",370,364,"370","350 to 387","C","4.73 (1)","4.26 (4)",4.73,4.26,4.73,"3.81 to 4.84",4.73,"EXP","0"
"297","DICHLORVOS","62-73-7",0,1,1,1,1,220.98,1.37e-08,1.38e-06,"234 (1)","236 (3)",234,236,"234","221 to 252","C","1.43 (1)","1.22 (4)",1.43,1.22,1.43,"0.6 to 1.56",1.47,"EXP","0"
"298","N-NITROSODIMETHYLAMINE","62-75-9",0,1,1,1,NA,74.08,3.01e-07,2.02e-05,"153 (3)","150 (3)",152,150,"152","141 to 156","C","-0.570 (1)","-0.381 (4)",-0.57,-0.381,-0.57,"-0.640 to -0.0910",-0.57,"EXP","0"
"299","1,2,4-TRICHLOROBENZENE","120-82-1",0,1,1,1,1,181.45,2.71e-08,2.86e-06,"213 (6)","208 (3)",213,208,"213 to 214","207 to 209","C","4.02 (1)","3.69 (4)",4.02,3.69,4.02,"2.95 to 3.95",4.02,"EXP","0"
"300","BROMOFORM","75-25-2",0,NA,1,1,1,252.73,1.93e-07,1.1e-05,"149 (6)","155 (3)",150,155,"148 to 150","148 to 167","C","2.40 (1)","2.35 (4)",2.4,2.35,2.4,"1.79 to 2.66",2.4,"EXP","0"
"301","1,3-DICHLOROBENZENE","541-73-1",0,1,1,1,1,147,1.96e-06,0.000132,"173 (4)","171 (3)",173,171,"173","165 to 175","C","3.53 (1)","3.21 (4)",3.53,3.21,3.53,"3.08 to 3.28",3.53,"EXP","0"
"302","2,4-DICHLOROPHENOL","120-83-2",0,1,1,1,1,163,4.99e-07,4.56e-05,"210 (3)","219 (3)",210,219,"209 to 210","207 to 234","C","3.06 (1)","2.95 (4)",3.06,2.95,3.06,"2.80 to 3.20",3.06,"EXP","0"
"303","1,4-DIOXANE","123-91-1",0,NA,1,1,NA,88.11,1.1e-06,6.84e-05,"103 (6)","103 (3)",101,103,"100 to 120","103","C","-0.270 (1)","-0.341 (4)",-0.27,-0.341,-0.27,"-0.593 to -0.157",-0.27,"EXP","0"
"304","2-BUTANONE","78-93-3",0,NA,1,1,NA,72.11,4.4e-05,0.00328,"79.7 (6)","73.7 (3)",80,73.7,"78.6 to 80.0","70.4 to 78.5","C","0.29 (1)","3.51e-01 (4)",0.29,0.351,0.29,"2.44e-01 to 4.83e-01",0.29,"EXP","0"
"305","1,2-DICHLOROETHYLENE","540-59-0",0,NA,1,1,NA,96.94,3.18e-07,3.28e-05,"55.0 (1)","54.9 (3)",55,54.9,"55","54.0 to 55.4","C",NA,"1.92 (3)",NA,1.92,NA,"1.82 to 1.98",2,"EXP","0"
"306","4-AMINOBIPHENYL","92-67-1",0,NA,1,1,NA,169.22,1.73e-06,0.000126,"274 (4)","306 (3)",302,306,"191 to 302","289 to 326","C","2.86 (1)","2.74 (4)",2.86,2.74,2.86,"2.39 to 3.04",2.86,"EXP","0"
"307","BIS(CHLOROMETHYL) ETHER","542-88-1",0,NA,1,1,NA,114.959,1.15e-08,1.66e-06,"106 (1)","113 (3)",106,113,"106","105 to 129","C",NA,"8.90e-01 (4)",NA,0.89,NA,"0.57 to 1.16",0.57,"EST","0"
"308","DIBROMOCHLOROMETHANE","124-48-1",0,NA,1,1,1,208.28,2.03e-08,3.73e-06,"118 (3)","127 (3)",117,127,"115 to 118","116 to 143","C","2.16 (1)","2.09 (4)",2.16,2.09,2.16,"1.70 to 2.23",2.16,"EXP","0"
"309","CRESOLS","1319-77-3",0,NA,1,1,NA,109.1471,3.3e-05,0.00168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95,"EXP","0"
"310","2-CHLOROPHENOL","95-57-8",0,1,1,1,NA,128.56,8.33e-08,6.79e-06,"175 (4)","190 (3)",176,190,"175 to 176","172 to 203","C","2.15 (1)","2.20 (4)",2.15,2.2,2.15,"1.92 to 2.40",2.15,"EXP","0"
"311","DIMETHYL FORMAMIDE","68-12-2",0,1,1,1,1,73.09,2.45e-06,0.000184,"153 (6)","144 (3)",153,144,"153","117 to 164","C","-1.01 (1)","-0.899 (4)",-1.01,-0.899,-1.01,"-1.04 to -0.702",-1.01,"EXP","0"
"312","DIMETHYLANILINE","121-69-7",0,1,1,1,NA,121.18,1.44e-08,1.17e-06,"193 (6)","185 (3)",193,185,"192 to 194","169 to 197","C","2.31 (2)","2.15 (4)",2.31,2.15,2.31,"1.89 to 2.41",2.31,"EXP","0"
"313","PENTAERYTHRITOL TETRANITRATE","78-11-5",0,NA,1,1,NA,316.14,9.85e-08,9.88e-06,NA,"328 (3)",NA,328,NA,"309 to 364","C",NA,"2.45 (4)",NA,2.45,NA,"1.52 to 3.35",2.38,"EST","0"
"314","ACRYLONITRILE","107-13-1",0,NA,1,1,1,53.06,2.82e-06,0.000275,"77.4 (4)","86.6 (3)",77.2,86.6,"77.0 to 78.0","76.3 to 94.7","C","0.25 (1)","2.88e-01 (4)",0.25,0.288,0.25,"1.48e-01 to 0.59",0.25,"EXP","0"
"315","1,2-DICHLOROETHENE, CIS-","156-59-2",0,NA,1,1,1,96.94,8.1e-08,5.96e-06,"54.4 (1)","54.9 (3)",54.4,54.9,"54.4","54.0 to 55.4","C","1.86 (1)","1.93 (4)",1.86,1.93,1.86,"1.82 to 1.98",1.86,"EXP","0"
"316","CARBAZOLE","86-74-8",0,NA,1,1,NA,167.21,1.61e-07,1.36e-05,"351 (5)","330 (3)",355,330,"335 to 356","325 to 340","C","3.72 (1)","2.99 (4)",3.72,2.99,3.72,"2.05 to 3.78",3.72,"EXP","0"
"317","1,2,3-TRICHLOROPROPANE","96-18-4",0,1,1,1,NA,147.43,1.33e-08,1.34e-06,"157 (5)","154 (3)",156,154,"156 to 158","144 to 162","C","2.27 (1)","2.32 (4)",2.27,2.32,2.27,"2.20 to 2.50",2.27,"EXP","0"
"318","METHYL ISOBUTYL KETONE","108-10-1",0,NA,1,1,NA,100.16,5.41e-05,0.00392,"117 (8)","111 (3)",117,111,"115 to 118","105 to 115","C","1.31 (1)","1.42 (4)",1.31,1.42,1.31,"1.16 to 1.67",1.31,"EXP","0"
"319","b-cypermethrin","52315-07-8",0,1,1,1,1,416.3,1.62e-06,0.00014,NA,"399 (3)",NA,399,NA,"339 to 450","C","6.60 (1)","6.01 (4)",6.6,6.01,6.6,"5.45 to 6.38",6.6,"EXP","0"
"320","b-cyfluthrin","68359-37-5",0,1,1,1,1,434.29,1.9e-06,9.88e-05,NA,"400 (3)",NA,400,NA,"330 to 448","C","5.95 (1)","5.78 (4)",5.95,5.78,5.95,"5.06 to 6.20",5.95,"EXP","0"
"321","methomyl","16752-77-5",0,1,1,1,NA,162.21,5.76e-08,3.55e-06,NA,"244 (3)",NA,244,NA,"228 to 274","C","0.6 (1)","5.52e-01 (4)",0.6,0.552,0.6,"5.12e-01 to 0.61",0.6,"EXP","0"
"322","propiconazole","60207-90-1",0,1,1,1,NA,342.22,1.63e-08,1.52e-06,NA,"361 (3)",NA,361,NA,"319 to 415","C","3.72 (1)","3.42 (4)",3.72,3.42,3.72,"3.02 to 4.13",3.72,"EXP","0"
